id	sentence1	sentence2	is_duplicate
171430 5c2e721b-9e4b-4f48-a6a1-980b72434296	Should I learn how to code?	What are some of the best ways to learn programming?	0.0
292682 953363dc-361c-460c-8825-8983603d8128	Why is adsorption an exothermic process?	Is the blast of a nuclear bomb exothermic?	0.0
342044 4d1df087-facd-4150-93df-8b6e26080827	Can an extrovert turn into an introvert?	How can an introvert turn into an extrovert?	0.0
395512 d4058b7a-4cce-46df-b85f-acd807d84a9f	What are the requirements to become president in the United States and how are the requirements different in Ukraine?	What are the requirements to become president in the United States and how are the requirements different in France?	0.0
388825 5f1be71d-e065-46a1-b3ec-5befbc430944	Who is the greatest villain in television history and why?	How strong is Cheetah and how is she a Wonder Woman villain?	0.0
111087 a7d78e3b-c732-4c16-8c1f-f744b73acac8	How do I move out?	How can I move out?	1.0
389333 22ecdcc3-e401-457c-863c-2dcabd15b2b4	Job openings in Toronto?	What are the best culinary schools in Phoenix?	0.0
392979 73176b1c-da0d-4a21-8fac-7298efcc1a44	Why do men have to cheat?	Why do many men cheat?	1.0
197520 8b8826d6-aa04-4dce-9f08-29d61d442bf7	What is the correlation between intelligence and grades?	What is the difference between intelligence and common sense?	0.0
136144 96069bb2-1a19-414a-8e09-74b5bb054124	How can someone tell if they have fallen in love?	How do you know if you're in love?	0.0
267009 7c071956-0415-402b-9772-035942f95d04	Why are some bosses highly paranoid?	What does boss do?	0.0
155184 8cbb00b3-6a97-45be-8baf-9cbfd86810d4	What are some good productivity hacks?	What are the best product hacks?	0.0
292291 370c391f-2850-4663-b34f-d25fa48e7f2d	What are the best cinema schools in Germany for international students?	What is the best vocational school in Germany?	0.0
183871 2e202566-276b-42f1-bc03-856ac63e116e	What's it like to work at Steel Dynamics for your first job?	What's it like to work at U.S. Steel for your first job?	0.0
243508 9043e3e7-f5a5-401b-8c7d-34ae0a66d6b5	Why won't my iPhone unlock?	What should I do if my iPhone won't unlock?	0.0
73052 9a45810e-c301-4542-a06b-d37629ee703c	Why do some people think that the Earth is flat when it is very clear that it is not?	Why is there the flat Earth debate?	1.0
217797 40463fa8-10d2-4282-9ead-92c1b8b37bdd	Is it difficult for a foreigner to use chopsticks?	Is it difficult for foreigners to use Chinese chopsticks?	1.0
241837 37c06253-aa77-4c67-880b-1397b5e64349	What is the appropriate response when someone says they're proud of you?	What's the best response when someone says, “That's a good one.”?	0.0
